Model Name,Macro F1,Recall,Precision,Specificity,ROC-AUC
ensemble_CNN050_XGB_SMOTE050,0.8069,0.5705,0.8653,0.9749,0.9095
ensemble_CNN050_LR050,0.8014,0.6105,0.7627,0.9495,0.9162
ensemble_CNN060_LR040,0.7897,0.5562,0.8109,0.9641,0.9177
ensemble_CNN065_XGB_SMOTE035,0.7834,0.5562,0.7895,0.9604,0.919
ensemble_CNN050_RF050,0.7827,0.541,0.797,0.9641,0.9145
ensemble_CNN060_XGB_SMOTE040,0.782,0.5143,0.8474,0.9749,0.9121
ensemble_CNN065_LR035,0.782,0.5429,0.8061,0.9641,0.9178
ensemble_CNN060_RF040,0.7729,0.5276,0.7799,0.9604,0.9198
ensemble_CNN065_RF035,0.7729,0.5276,0.7799,0.9604,0.9187
method4_svm_smote,0.7031,0.5295,0.5488,0.8771,0.8238
method3.1_1dcnn_beat_level,0.6665,0.8171,0.4182,0.6851,0.8293
method3_1dcnn_beat_level,0.6597,0.7339,0.4163,0.7217,0.809
method3.2_1dcnn_patient_level,0.6289,0.6114,0.3814,0.7259,0.7476
method3.2_svm_smote,0.6098,0.4028,0.3726,0.8269,0.7023
